"title","field_oeuvre_code_value","field_oeuvre_realisee_value","field_oeuvre_description_value","field_oeuvre_dimensions_value","field_oeuvres_elem_techniques_value","field_oeuvre_edition_value","field_oeuvre_cout_prod_value","field_oeuvre_val_assurance_value","field_oeuvre_prix_vente_value","field_oeuvre_notes_value","field_oeuvre_memo_value","field_oeuvre_emplacement_value","field_oeuvre_collection_value","field_oeuvre_cout_prod_dol_value","field_oeuvre_val_assurance_dol_value","field_oeuvre_prix_vente_dol_value","field_oeuvre_publiable_value","field_oeuvres_notice_value","field_oeuvres_legende_value","field_oeuvres_dim_feet_value","field_sous_titre_value","field_oeuvre_date_value","field_courtesy_value","field_oeuvre_adresse_web_url","category","localisation","logicel","series","filepaths"
"Algorithme n°11","1998-AG-ALG11","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°11, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°13","1998-AG-ALG13","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage. ","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°13, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique

","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°14","1998-AG-ALG14","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage. ","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL," Algorithme n°14, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°15","1998-AG-ALG15","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°15, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°22","1998-AG-ALG22","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°22, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique

","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°23","1998-AG-ALG23","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°23, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°27","1998-AG-ALG27","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°27, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°28","1998-AG-ALG28","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°28, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°5","1998-AG-ALG5","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°5, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°7","1998-AG-ALG7","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme n°7, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°12","1998-AG-ALGORITHME(1","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°1","1998-AG-ALGORITHME1","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°10","1998-AG-ALGORITHME10","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°16","1998-AG-ALGORITHME16","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°17","1998-AG-ALGORITHME17","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui","Vendue aux enchères avec une autre pièce gonflable en 2011, maison Delorme Collin du Bocage, estimée à 1000 - 1500€ ",NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Vendu",NULL,"Algorithme",NULL
"Algorithme n°18","1998-AG-ALGORITHME18","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,"Œuvre numérotée n°24 à l'arrière par l'artiste, mais le numéro d'inventaire à été attribué 1998-AG-ALGORITHME(18) par défaut.",NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Algorithme (n°18), Miguel Chevalier, 1998, Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme","sites/default/files/media/images/1998-ag-algorithme18bis.jpg"
"Algorithme n°19","1998-AG-ALGORITHME19","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°2","1998-AG-ALGORITHME2","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°20","1998-AG-ALGORITHME20","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°21","1998-AG-ALGORITHME21","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°24","1998-AG-ALGORITHME24","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°25","1998-AG-ALGORITHME25","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°26","1998-AG-ALGORITHME26","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°29","1998-AG-ALGORITHME29","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°3","1998-AG-ALGORITHME3","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°30","1998-AG-ALGORITHME30","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°31","1998-AG-ALGORITHME31","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine","Collection de l'artiste",NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°32","1998-AG-ALGORITHME32","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°33","1998-AG-ALGORITHME33","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°34","1998-AG-ALGORITHME34","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°35","1998-AG-ALGORITHME35","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°36","1998-AG-ALGORITHME36","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Algorithme n°4","1998-AG-ALGORITHME4","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°6","1998-AG-ALGORITHME6","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°8","1998-AG-ALGORITHME8","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Algorithme n°9","1998-AG-ALGORITHME9","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Algorithme",NULL
"Turbulence Numérique 1","1998-AG-TN1","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Turbulence Numérique 1, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Turbulence Numérique 2","1998-AG-TN2","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Turbulence Numérique 2, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Turbulence Numérique 3","1998-AG-TN3","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Turbulence Numérique 3, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Turbulence Numérique 4","1998-AG-TN4","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique transparent dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine",NULL,NULL,NULL,NULL,"oui",NULL,"Turbulence Numérique 4, Miguel Chevalier, 1998, Gonflable, 32 x 32 x 4 cm, Œuvre unique","12,60 x 12,60 x 1,60 in",NULL,1998,NULL,NULL,"Gonflables","Atelier",NULL,"Algorithme",NULL
"Nature de synthèse n°1","1998-AN-NDESYNTHESE(1)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°10","1998-AN-NDESYNTHESE(10)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°11","1998-AN-NDESYNTHESE(11)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°12","1998-AN-NDESYNTHESE(12)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°13","1998-AN-NDESYNTHESE(13)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°14","1998-AN-NDESYNTHESE(14)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°15","1998-AN-NDESYNTHESE(15)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°16","1998-AN-NDESYNTHESE(16)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°17","1998-AN-NDESYNTHESE(17)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°18","1998-AN-NDESYNTHESE(18)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°19","1998-AN-NDESYNTHESE(19)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°2","1998-AN-NDESYNTHESE(2)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.
","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
"Nature de synthèse n°20","1998-AN-NDESYNTHESE(20)","oui",NULL,"32 x 32 x 4 cm","Impression numérique collé sur carton rigide, dans une structure en plastique nacré dont le contour est gonflable. Présence d'une valve pour le gonflage/dégonflage.","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"x",NULL,NULL,NULL,NULL,"non",NULL,NULL,"12,60 x 12,60 x 1,60 inch",NULL,1998,NULL,NULL,"Gonflables","Inconnue",NULL,"Autre nature",NULL
