"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"Télescopages HEROUVILLE","Centre d'art contemporain, Hérouville St-Clair","perso","1989-11-02T00:00:00","1989-12-10T00:00:00","-","1989-E-HEROUVILLE1",NULL
"Tempting ART","Musée d'Art Moderne MUDAM, Luxembourg","groupe","2016-07-02T00:00:00","2016-09-19T00:00:00","Anna Loporcaro","2016-E-LUXEMBOURG",NULL
"Terra Incognita","Mis (Museu da Imagem e do Som), Sao Paulo (BRA)","perso","2010-09-01T00:00:00","2010-10-31T00:00:00","Museu da imagem e do som","2010-E-SAOPAULOMIS","sites/default/files/media/images/2010-e-saopaulomis-4.jpg,sites/default/files/media/images/2010-e-saopaulomis-5.jpg,sites/default/files/media/images/2010-e-saopaulomis-6.jpg,sites/default/files/media/images/2010-e-saopauloinvitv_2.jpg,sites/default/files/media/images/2010-e-saopaulomis-2.jpg,sites/default/files/media/images/2010-e-saopaulomis-3.jpg,sites/default/files/media/images/2010-e-saopaulomis-1.jpg"
"Tisser les réseaux","Cité Internationale, Lyon (FRA)","perso","2003-01-01T00:00:00","2003-01-01T00:00:00",NULL,"2003-E-LYONFLUMIERES","sites/default/files/media/images/2003-e-lyonflumieres-1.jpg,sites/default/files/media/images/2003-e-lyonflumieres-2.jpg,sites/default/files/media/images/2003-e-lyonflumieres-3.jpg,sites/default/files/media/images/2003-e-lyonflumieres-4.jpg,sites/default/files/media/images/2003-e-lyonflumieres-5.jpg,sites/default/files/media/images/2003-e-lyonflumieres-6.jpg,sites/default/files/media/images/2003-e-lyonflumieres-7.jpg,sites/default/files/media/images/2003-e-lyonflumieres-8.jpg,sites/default/files/media/images/2003-e-lyonflumieres-9.jpg,sites/default/files/media/images/2003-e-lyonflumieres-10.jpg"
"Toulon","toulon","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-TOULON","sites/default/files/media/images/2009-e-toulon-2.jpg,sites/default/files/media/images/2009-e-toulon-1.jpg"
"Trans-culture","Exit art gallery, New york","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-NEWYORK",NULL
"Trelaze","Anciennes écuries des ardoisières, Trélazé (FRA)","perso","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-TRELAZE","sites/default/files/media/images/2007-e-trelaze-3.jpg,sites/default/files/media/images/2007-e-trelaze-4.jpg,sites/default/files/media/images/2007-e-trelaze-5.jpg,sites/default/files/media/images/2007-e-trelaze-6.jpg,sites/default/files/media/images/2007-e-trelaze-7.jpg,sites/default/files/media/images/2007-e-trelaze-8.jpg,sites/default/files/media/images/2007-e-trelaze-9.jpg,sites/default/files/media/images/2007-e-trelaze-2.jpg,sites/default/files/media/images/2007-e-trelaze-1.jpg"
"Turbulences","Espace culturel Louis Vuitton, Paris","groupe","2012-06-21T00:00:00","2012-09-16T00:00:00","David Rosenberg et Pierre Sterckx","2012-E-PARISVUITTON","sites/default/files/media/images/2012-e-parisvuitton-1.jpg,sites/default/files/media/images/2012-e-parisvuitton-2.jpg,sites/default/files/media/images/2012-e-parisvuitton-3.jpg,sites/default/files/media/images/2012-e-parisvuitton-4.jpg"
"Turbulences II","Fondation Boghossian – Villa Empain, Bruxelles (BEL)","groupe","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-BRUXELLES","sites/default/files/media/images/2013-e-bruxelles-9.jpg,sites/default/files/media/images/2013-e-bruxelles-8.jpg,sites/default/files/media/images/2013-e-bruxelles-7_0.jpg,sites/default/files/media/images/2013-e-bruxelles-6.jpg,sites/default/files/media/images/2013-e-bruxelles-5.jpg,sites/default/files/media/images/2013-e-bruxelles-4.jpg,sites/default/files/media/images/2013-e-bruxelles-3.jpg,sites/default/files/media/images/2013-e-bruxelles-2.jpg,sites/default/files/media/images/2013-e-bruxelles-1.jpg"
"Turku","Turku","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2007-E-TURKU","sites/default/files/media/images/2007-e-turku-1.jpg,sites/default/files/media/images/2007-e-turku-2.jpg,sites/default/files/media/images/2007-e-turku-3.jpg,sites/default/files/media/images/2007-e-turku-4.jpg,sites/default/files/media/images/2007-e-turku-5.jpg,sites/default/files/media/images/2007-e-turku-6.jpg,sites/default/files/media/images/2007-e-turku-7.jpg,sites/default/files/media/images/2007-e-turku-8.jpg"
"Ubiquity 1 Mayor","The Mayor Gallery, 21 Cork Street, First Floor, London W1S 3LZ","perso","2018-04-12T00:00:00","2018-06-01T00:00:00",NULL,"2018-E-LONDONUBIQ1",NULL
"Ubiquity 2 Wilmotte","Wilmotte Gallery, London","perso","2018-04-12T00:00:00","2018-06-15T00:00:00",NULL,"2018-E-LONDONUBIQ2",NULL
"Ultra-Nature","Gallery Sejul, Séoul (KOR)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-SEOULSEJUL","sites/default/files/media/images/2006-e-seoulsejul-1.jpg,sites/default/files/media/images/2006-e-seoulsejul-9.jpg,sites/default/files/media/images/2006-e-seoulsejul-8.jpg,sites/default/files/media/images/2006-e-seoulsejul-7.jpg,sites/default/files/media/images/2006-e-seoulsejul-6.jpg,sites/default/files/media/images/2006-e-seoulsejul-5.jpg,sites/default/files/media/images/2006-e-seoulsejul-4.jpg,sites/default/files/media/images/2006-e-seoulsejul-3.jpg,sites/default/files/media/images/2006-e-seoulsejul-2.jpg,sites/default/files/media/images/2006-e-seoulsejul-11.jpg,sites/default/files/media/images/2006-e-seoulsejul-10.jpg"
"Ultra-nature","Glow Festival : forum of light in art and architecture, Eindhoven (NLD)","groupe","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-EINDHOVEN","sites/default/files/media/images/2007-e-eindhoven-2.jpg,sites/default/files/media/images/2007-e-eindhoven-3.jpg,sites/default/files/media/images/2007-e-eindhoven-4.jpg,sites/default/files/media/images/2007-e-eindhoven-1.jpg"
"Ultra-Nature","Le métro d' Oslo (NOR)","perso","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-OSLO","sites/default/files/media/images/2004-e-oslo5_0.jpg,sites/default/files/media/images/2004-e-oslo4_0.jpg,sites/default/files/media/images/2004-e-oslo3_1.jpg,sites/default/files/media/images/2004-e-oslo2_1.jpg,sites/default/files/media/images/2004-e-oslo1_1.jpg"
"Ultra-Natures, Emoção Art.ficial 4.0","Centro Cultural Itaú, São Paulo (BRA)","groupe","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-SAOPAULO","sites/default/files/media/images/2008-e-saopaulo-1.jpg,sites/default/files/media/images/2008-e-saopaulo-2.jpg,sites/default/files/media/images/2008-e-saopaulo-3.jpg"
"Unpainted, media art fair","Postpalast Munich","groupe","2014-01-17T00:00:00","2014-01-20T00:00:00",NULL,"2014-E-MUNICH",NULL
"Unpainted, media art fair","Postpalast Munich","groupe","2014-01-17T00:00:00","2014-01-20T00:00:00",NULL,"2014-E-MUNICHHERMES",NULL
"V.I.P. Vidéo, images, peinture","Galerie du Génie, Paris (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISGENIE",NULL
"Valenciennes","Valenciennes","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2007-E-VALENCIENNES","sites/default/files/media/images/2007-e-valenciennes-1.jpg,sites/default/files/media/images/2007-e-valenciennes-2.jpg"
"Variaciones en Gris","Centro cultural de la Villa, Madrid (ESP)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-MADRIDCENTRECCULTUREL",NULL
"Variations Gitanes","Grande Halle de la Villette, Paris (FRA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-PARISVILLETTE",NULL
"Vidéo art plastique 88","Centre d'art contemporain, Hérouville St-Clair","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-HEROUVILLE",NULL
"Vidéo art plastique 89","Centre d'art contemporain, Hérouville Saint-Clair (FRA)","groupe","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-HEROUVILLE2",NULL
"Vidéo art plastique 90","Centre d'art contemporain, Hérouville Saint-Clair (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-HEROUVILLE",NULL
"Video arte","Institut Français, Siantago du Chili","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-SANTIAGODUCHILI",NULL
"Vidéos séquence","Maison des Arts, 105 avenue du 12 février 1934, Malakoff (FRA)","groupe","2004-03-21T00:00:00","2004-05-09T00:00:00",NULL,"2004-E-MALAKOFF",NULL
"Virtuel Réel","Espace Paul Ricard, Paris (FRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-PARISRICARD",NULL
"Vision quest 1996","Beijing International Center, Pékin (CHN)","groupe","1996-01-01T00:00:00","1996-01-01T00:00:00",NULL,"1996-E-PEKIN",NULL
"Vitry bibliothèque","Bibliothèque de Vitry","perso","1950-01-01T00:00:00","1950-01-01T00:00:00",NULL,"2010-E-VITRYBIBLIO","sites/default/files/media/images/2010-e-vitrybiblio-4.jpg,sites/default/files/media/images/2010-e-vitrybiblio-3.jpg,sites/default/files/media/images/2010-e-vitrybiblio-2.jpg,sites/default/files/media/images/2010-e-vitrybiblio-1.jpg"
"Vortex","Galerie Lélia Mordoch, Paris (France)","perso","2015-09-25T00:00:00","2015-10-31T00:00:00",NULL,"2015-E-PARISMORDOCH","sites/default/files/media/images/vortex_miguel_chevalier_1.jpg,sites/default/files/media/images/vortex_miguel_chevalier_2_0.jpg,sites/default/files/media/images/vortex_miguel_chevalier_3.jpg"
"Vous avez dit Fractal ?","Musée, Uzés (FRA)","groupe","1996-01-01T00:00:00","1996-01-01T00:00:00",NULL,"1996-E-UZES",NULL
"Voxels Light et Mini Voxels Light","Eglise Saint-Eustache, Paris, France","perso","2015-12-04T00:00:00","2016-01-04T00:00:00","Françoise Paviot","2015-E-SAINTEUSTACHE",NULL
"Washington 186","AEROPLASTICS contemporary, rue Washington 186, 1050 Bruxelles (BEL)","groupe","2017-04-19T00:00:00","2017-06-04T00:00:00","Jérôme Jacobs, Galerie Aeroplastics","2017-E-BRUXELLESWASHINGTON",NULL
"YIA ART FAIR 2015 PARIS","Galerie Keza Paris, Carreau du Temple, Paris 3ème","perso","2015-10-23T00:00:00","2015-10-25T00:00:00","Galerie Keza","2015-E-YIAARTFAIRPARIS","sites/default/files/media/images/2015-e-kezaartfairparis6.jpg,sites/default/files/media/images/2015-e-kezaartfairparis5.jpg,sites/default/files/media/images/2015-e-kezaartfairparis4_0.jpg,sites/default/files/media/images/2015-e-kezaartfairparis3_0.png,sites/default/files/media/images/2015-e-kezaartfairparis2_0.png,sites/default/files/media/images/2015-e-kezaartfairparis1.png"
"YIA ART FAIR 2016 BRUXELLES","Le Louise 186","perso","2016-04-21T00:00:00","2016-04-24T00:00:00","Galerie Keza","2016-E-YIAARTFAIRBRUXELLES","sites/default/files/media/images/newsletter.png,sites/default/files/media/images/plan_yia2.jpg,sites/default/files/media/images/plan_yia1.jpg"
"YIA ART FAIR BRUXELLES 2017","Square Brussels Meeting Center (Mont des Arts), 1000 Bruxelles","perso","2017-04-20T00:00:00","2017-04-23T00:00:00","Galerie Keza","2017-E-BRUXELLES",NULL
"Zoom (fractal) ","Visual arts gallery at Purchase college State University, New York (USA)","groupe","1998-01-01T00:00:00","1998-01-01T00:00:00",NULL,"1998-E-NEWYORK",NULL
"Œnologie","Château Pichon Longueville Comtesse de Lalande, Pauillac (France)","perso","1991-06-20T00:00:00","1991-07-19T00:00:00",NULL,"1991-E-PAUILLAC","sites/default/files/media/images/1991-e-pauillacinvitr.jpg"
