"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"PAD Paris,  la Galerie Priveekollektie","Jardin des Tuileries à Paris","groupe","2012-01-01T00:00:00","2012-01-01T00:00:00",NULL,"2012-E-PARISPADPRIVEEKOLLEKTIE","sites/default/files/media/images/2012-e-parispadpriveekollectie-1.jpg,sites/default/files/media/images/2012-e-parispadpriveekollectie-2.jpg"
"PAD Paris,  la Galerie Priveekollektie","Paris","groupe","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-PARISPAD",NULL
"PAD Paris, avec la Galerie Perimeter ","Jardin des Tuileries à Paris","groupe","2012-01-01T00:00:00","2012-01-01T00:00:00",NULL,"2012-E-PARISPADPERIMETER","sites/default/files/media/images/2012-e-parispadperimeter-2.jpg,sites/default/files/media/images/2012-e-parispadperimeter-3.jpg,sites/default/files/media/images/2012-e-parispadperimeter-4.jpg,sites/default/files/media/images/2012-e-parispadperimeter-5.jpg,sites/default/files/media/images/2012-e-parispadperimeter-1.jpg"
"PAD – Art and Design","Jardin des Tuileries, 	Paris ","groupe","2014-03-27T00:00:00","2014-03-30T00:00:00",NULL,"2014-E-PARISPAD",NULL
"Papiers à lettres","Le Musée de la Poste, Galerie d'Orsay, Paris (FRA)","groupe","1995-01-01T00:00:00","1995-01-01T00:00:00",NULL,"1995-E-PARISMPOSTE",NULL
"Par amour","Les docks - 45 quai Rambaud Lyon (FRA)","perso","2005-09-12T00:00:00","2005-12-31T00:00:00",NULL,"2005-E-LYONART45","sites/default/files/media/images/2005-e-lyonart45-3.jpg,sites/default/files/media/images/2005-e-lyonart45-1.jpg,sites/default/files/media/images/2005-e-lyonart45-2.jpg"
"Paradis artificiels","Domaine départementale de la Roche Jagu - Ploëzal, (FRA)","perso","2015-05-08T00:00:00","2015-09-27T00:00:00","Nolwenn Herry","2015-E-ROCHEJAGU",NULL
"Paradis artificiels","Galerie Municipale, 59 avenue Guy-Môquet, 94400 Vitry-sur-Seine (FRA)","perso","2004-04-30T00:00:00","2004-06-03T00:00:00",NULL,"2004-E-VITRYSURSEINE",NULL
"Paradis artificiels","Larodde (FRA)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-LARODDE",NULL
"Paradis artificiels 2014","Musée d'art moderne de Ceret, France","perso","2014-03-02T00:00:00","2014-06-01T00:00:00","Nathalie Gallissot","2014-E-CERET","sites/default/files/media/images/affiche_recto_0.jpg,sites/default/files/media/images/affiche_verso.jpg,sites/default/files/media/images/2014-e-ceret1.jpg,sites/default/files/media/images/2014-e-surnaturesceret.jpg"
